skills,interests,education_level,years_experience,certifications,projects,target_career
"system design, python, algorithms","software architecture, coding, backend logic, optimizing performance",Master,7,In Progress,desktop application,Software Engineer
"statistics, python, numpy, machine learning, deep learning","solving complex problems, analyzing data",PhD,6,In Progress,image classification,Data Scientist
"scrum, agile, communication, roadmapping, analytics, market research","leading teams, business growth",Self-Taught,5,In Progress,market analysis,Product Manager
"data structures, java, algorithms, git, system design, c++, python","backend logic, software architecture, optimizing performance",PhD,6,In Progress,scalable system,Software Engineer
"communication, roadmapping, agile, market research","user experience, leading teams, business growth, product strategy",PhD,6,Certified,product launch,Product Manager
"nlp, deep learning, pandas, sql","solving complex problems, ai research, analyzing data",Master,2,None,customer churn prediction,Data Scientist
"css, react, javascript","building websites, backend systems, frontend development",Bachelor,5,None,portfolio website,Web Developer
"node.js, react, api, css, html, javascript","ui design, backend systems, building websites",Bachelor,9,Certified,chat application,Web Developer
"css, react, html","backend systems, ui design",Self-Taught,8,Certified,chat application,Web Developer
"user research, wireframing, adobe xd, figma, prototyping, sketch","design capability, user interface, user testing, visual design",Master,10,In Progress,mobile app design,UX Designer
"adobe xd, wireframing, prototyping","user testing, user interface, design capability",Master,9,Certified,mobile app design,UX Designer
"wireframing, figma, prototyping, adobe xd, sketch, user research","user interface, visual design",Self-Taught,10,In Progress,website redesign,UX Designer
"numpy, python, pandas","building models, analyzing data, ai research",Master,8,Certified,customer churn prediction,Data Scientist
"nlp, deep learning, pandas, python, statistics, sql, numpy","ai research, analyzing data, building models",Bachelor,4,None,image classification,Data Scientist
"sketch, user research, adobe xd, figma, prototyping","user interface, design capability, visual design",Master,10,Certified,mobile app design,UX Designer
"python, nlp, pandas, sql","ai research, building models, analyzing data, solving complex problems",Self-Taught,3,In Progress,sentiment analysis,Data Scientist
"user research, prototyping, adobe xd","user interface, design capability, visual design",Bachelor,0,Certified,user flow diagram,UX Designer
"html, api, node.js, react","frontend development, building websites, backend systems",Bachelor,0,Certified,portfolio website,Web Developer
"statistics, pandas, sql, python, numpy","solving complex problems, ai research, building models",PhD,1,None,image classification,Data Scientist
"pandas, sql, nlp, statistics, machine learning","solving complex problems, building models",Self-Taught,9,In Progress,sentiment analysis,Data Scientist
"agile, market research, communication","business growth, user experience, leading teams, product strategy",Self-Taught,8,In Progress,market analysis,Product Manager
"css, api, node.js, javascript","frontend development, ui design",PhD,2,In Progress,e-commerce site,Web Developer
"system design, git, python","software architecture, optimizing performance",PhD,4,None,scalable system,Software Engineer
"communication, agile, analytics, roadmapping","business growth, user experience, leading teams",Master,0,Certified,user research,Product Manager
"css, databases, javascript, node.js, html, api","frontend development, building websites",Self-Taught,2,Certified,portfolio website,Web Developer
"python, nlp, numpy, deep learning, pandas, sql","analyzing data, building models, ai research, solving complex problems",Self-Taught,1,None,image classification,Data Scientist
"css, react, javascript, databases, api","ui design, building websites, frontend development",PhD,8,In Progress,e-commerce site,Web Developer
"css, javascript, node.js, databases, api, html","ui design, building websites, backend systems, frontend development",Bachelor,10,In Progress,chat application,Web Developer
"scrum, market research, agile","user experience, business growth, product strategy",Bachelor,1,None,market analysis,Product Manager
"java, git, system design, c++","backend logic, coding, optimizing performance, software architecture",Master,7,None,algorithm visualizer,Software Engineer
"machine learning, sql, pandas","solving complex problems, analyzing data",Bachelor,8,None,sentiment analysis,Data Scientist
"prototyping, user research, figma, adobe xd, wireframing, sketch","visual design, user testing",PhD,5,Certified,mobile app design,UX Designer
"roadmapping, communication, market research","leading teams, business growth, product strategy",PhD,0,None,product launch,Product Manager
"roadmapping, market research, analytics","user experience, leading teams, business growth, product strategy",Self-Taught,7,Certified,market analysis,Product Manager
"adobe xd, wireframing, sketch, user research","design capability, visual design, user interface, user testing",Master,10,None,website redesign,UX Designer
"numpy, python, machine learning, nlp, sql, pandas, statistics, deep learning","solving complex problems, building models, ai research, analyzing data",Master,1,In Progress,image classification,Data Scientist
"javascript, html, databases","ui design, building websites, backend systems",PhD,2,None,portfolio website,Web Developer
"agile, scrum, analytics, communication, roadmapping","user experience, business growth",Self-Taught,4,Certified,user research,Product Manager
"data structures, git, system design, java, algorithms, c++, python","software architecture, coding, optimizing performance, backend logic",Self-Taught,4,In Progress,scalable system,Software Engineer
"html, node.js, javascript, react, css","frontend development, backend systems, ui design, building websites",Self-Taught,7,None,portfolio website,Web Developer
"java, c++, git","optimizing performance, software architecture, coding",Master,4,In Progress,scalable system,Software Engineer
"statistics, python, machine learning, pandas, numpy, nlp, sql, deep learning","ai research, analyzing data",Self-Taught,2,Certified,image classification,Data Scientist
"html, css, javascript, databases, react, api, node.js","building websites, frontend development",Bachelor,1,In Progress,chat application,Web Developer
"python, numpy, machine learning, sql, deep learning","analyzing data, building models, solving complex problems, ai research",Bachelor,3,Certified,customer churn prediction,Data Scientist
"pandas, sql, nlp, numpy, machine learning, deep learning, python","building models, analyzing data, solving complex problems, ai research",PhD,4,In Progress,sentiment analysis,Data Scientist
"analytics, communication, agile, scrum, market research","product strategy, business growth, leading teams",PhD,0,None,market analysis,Product Manager
"api, node.js, react, html","frontend development, backend systems, ui design, building websites",Bachelor,7,None,chat application,Web Developer
"communication, scrum, market research","leading teams, product strategy, business growth",Master,9,None,product launch,Product Manager
"statistics, nlp, python, numpy, sql, machine learning, pandas","building models, analyzing data",Master,5,None,sentiment analysis,Data Scientist
"figma, wireframing, user research, adobe xd, sketch, prototyping","visual design, user interface, user testing",Bachelor,5,Certified,user flow diagram,UX Designer
"api, html, databases, react, javascript, css","ui design, frontend development, backend systems, building websites",PhD,6,Certified,portfolio website,Web Developer
"api, javascript, html, react","frontend development, building websites, backend systems, ui design",Master,7,In Progress,chat application,Web Developer
"databases, html, node.js, api, javascript","building websites, frontend development, ui design, backend systems",Master,8,None,portfolio website,Web Developer
"statistics, numpy, python, sql, nlp, pandas","analyzing data, building models, solving complex problems",PhD,0,Certified,image classification,Data Scientist
"python, deep learning, statistics, machine learning, sql","analyzing data, ai research, building models, solving complex problems",PhD,4,In Progress,sentiment analysis,Data Scientist
"java, system design, algorithms","backend logic, coding, optimizing performance, software architecture",Self-Taught,2,Certified,algorithm visualizer,Software Engineer
"nlp, machine learning, python, deep learning, sql, numpy","building models, solving complex problems, ai research",Self-Taught,6,None,customer churn prediction,Data Scientist
"user research, wireframing, adobe xd, sketch, prototyping, figma","visual design, user interface, design capability",Self-Taught,10,In Progress,website redesign,UX Designer
"machine learning, nlp, pandas, numpy, deep learning","building models, ai research, solving complex problems, analyzing data",Self-Taught,7,In Progress,image classification,Data Scientist
"python, sql, nlp, machine learning, pandas, statistics","analyzing data, ai research, solving complex problems",Self-Taught,6,Certified,sentiment analysis,Data Scientist
"analytics, agile, market research","business growth, product strategy",PhD,7,None,market analysis,Product Manager
"javascript, html, api, css, databases","ui design, building websites, backend systems",Master,8,In Progress,e-commerce site,Web Developer
"pandas, statistics, machine learning, python, deep learning, numpy, sql","analyzing data, solving complex problems",Bachelor,10,None,customer churn prediction,Data Scientist
"react, api, html, javascript, css, node.js, databases","backend systems, frontend development, building websites, ui design",Self-Taught,4,None,portfolio website,Web Developer
"css, node.js, html, react, api","backend systems, ui design, frontend development, building websites",Master,6,In Progress,portfolio website,Web Developer
"databases, node.js, javascript, react, html","backend systems, frontend development, building websites",Bachelor,3,None,portfolio website,Web Developer
"javascript, databases, react, css, api, html","building websites, backend systems",PhD,3,None,chat application,Web Developer
"python, data structures, algorithms, git, java","backend logic, software architecture",Self-Taught,3,None,algorithm visualizer,Software Engineer
"data structures, python, algorithms, c++, java, system design, git","coding, software architecture",Bachelor,0,None,scalable system,Software Engineer
"javascript, node.js, css, databases, api, html","building websites, frontend development, ui design, backend systems",Bachelor,9,In Progress,chat application,Web Developer
"statistics, pandas, machine learning, deep learning","ai research, solving complex problems, building models",Bachelor,5,Certified,image classification,Data Scientist
"css, javascript, html, react","backend systems, frontend development, building websites",Master,0,None,e-commerce site,Web Developer
"adobe xd, prototyping, user research","user testing, user interface, design capability",Bachelor,1,None,website redesign,UX Designer
"javascript, databases, html","frontend development, building websites, backend systems",PhD,5,In Progress,e-commerce site,Web Developer
"communication, scrum, roadmapping, agile, market research, analytics","user experience, product strategy, business growth",Master,3,In Progress,product launch,Product Manager
"analytics, roadmapping, agile","product strategy, leading teams, user experience",Master,3,Certified,market analysis,Product Manager
"prototyping, user research, wireframing, adobe xd, figma","visual design, user testing",PhD,3,None,website redesign,UX Designer
"numpy, machine learning, nlp, deep learning","solving complex problems, analyzing data",Bachelor,9,Certified,image classification,Data Scientist
"statistics, sql, pandas, deep learning","ai research, building models, solving complex problems",Bachelor,0,In Progress,sentiment analysis,Data Scientist
"sketch, figma, prototyping","visual design, design capability",Bachelor,5,In Progress,mobile app design,UX Designer
"market research, scrum, analytics, roadmapping","product strategy, user experience, business growth",Bachelor,4,None,market analysis,Product Manager
"roadmapping, scrum, agile, analytics, market research, communication","user experience, product strategy",Master,0,In Progress,market analysis,Product Manager
"statistics, python, nlp","solving complex problems, ai research, building models",Master,5,In Progress,customer churn prediction,Data Scientist
"analytics, market research, communication","leading teams, user experience, business growth",Bachelor,8,None,user research,Product Manager
"adobe xd, figma, user research, sketch, wireframing, prototyping","user interface, user testing, design capability",PhD,7,In Progress,website redesign,UX Designer
"user research, figma, wireframing, prototyping, adobe xd","user testing, visual design, user interface, design capability",PhD,3,In Progress,user flow diagram,UX Designer
"c++, system design, algorithms","coding, backend logic",Bachelor,9,Certified,scalable system,Software Engineer
"css, html, javascript, react, node.js, api","building websites, frontend development",Master,6,None,chat application,Web Developer
"java, system design, git, data structures","coding, backend logic",PhD,2,Certified,algorithm visualizer,Software Engineer
"numpy, sql, pandas, deep learning, statistics, python","ai research, building models, solving complex problems, analyzing data",PhD,2,None,customer churn prediction,Data Scientist
"system design, java, data structures, c++","software architecture, coding",PhD,5,Certified,algorithm visualizer,Software Engineer
"agile, analytics, market research, communication, scrum","business growth, leading teams, product strategy",Master,0,Certified,product launch,Product Manager
"sketch, figma, adobe xd, wireframing, user research","design capability, user testing",Self-Taught,8,Certified,website redesign,UX Designer
"wireframing, adobe xd, figma, user research, prototyping","design capability, user testing",PhD,3,In Progress,user flow diagram,UX Designer
"machine learning, sql, deep learning, python, statistics","ai research, analyzing data",Master,1,None,sentiment analysis,Data Scientist
"sketch, adobe xd, figma","user testing, visual design",Master,7,None,mobile app design,UX Designer
"machine learning, deep learning, sql, numpy, statistics, nlp, pandas","building models, analyzing data, solving complex problems",Master,10,In Progress,sentiment analysis,Data Scientist
"algorithms, data structures, java, git","coding, optimizing performance, software architecture",Self-Taught,7,Certified,algorithm visualizer,Software Engineer
"scrum, communication, agile","business growth, user experience",Bachelor,6,In Progress,user research,Product Manager
"html, databases, api, node.js","building websites, frontend development",Bachelor,6,Certified,chat application,Web Developer
"data structures, java, c++, system design","optimizing performance, backend logic, coding",PhD,6,In Progress,scalable system,Software Engineer
"deep learning, machine learning, pandas, numpy, python","analyzing data, building models",Master,5,Certified,customer churn prediction,Data Scientist
"api, react, javascript, html, css","frontend development, backend systems",Master,5,None,e-commerce site,Web Developer
"prototyping, figma, wireframing, user research, adobe xd","user testing, user interface, design capability",Self-Taught,4,In Progress,mobile app design,UX Designer
"sketch, adobe xd, user research, wireframing","design capability, visual design",Self-Taught,6,None,website redesign,UX Designer
"machine learning, numpy, nlp, statistics, python, deep learning, sql, pandas","building models, ai research, solving complex problems",Bachelor,6,Certified,customer churn prediction,Data Scientist
"adobe xd, wireframing, prototyping","design capability, user interface, user testing",Self-Taught,2,Certified,user flow diagram,UX Designer
"deep learning, pandas, python, nlp, machine learning, sql, statistics","building models, solving complex problems",Bachelor,3,None,image classification,Data Scientist
"api, node.js, css, html, react, databases","building websites, ui design, backend systems, frontend development",Bachelor,4,None,chat application,Web Developer
"sketch, adobe xd, figma, wireframing","design capability, user testing",Bachelor,5,In Progress,website redesign,UX Designer
"sql, numpy, pandas, python, nlp, statistics","solving complex problems, ai research",Self-Taught,3,None,image classification,Data Scientist
"prototyping, sketch, user research","visual design, user testing, user interface, design capability",Self-Taught,5,Certified,mobile app design,UX Designer
"wireframing, user research, figma, sketch","design capability, visual design",Master,4,Certified,website redesign,UX Designer
"git, c++, algorithms","coding, optimizing performance, software architecture",Master,0,None,scalable system,Software Engineer
"system design, git, algorithms, c++","coding, software architecture, optimizing performance, backend logic",PhD,4,None,scalable system,Software Engineer
"databases, react, node.js, html, api, css","ui design, building websites",PhD,2,None,chat application,Web Developer
"market research, agile, communication, scrum","business growth, leading teams",Self-Taught,8,Certified,product launch,Product Manager
"python, numpy, machine learning, pandas, statistics","ai research, building models, analyzing data, solving complex problems",Master,0,None,image classification,Data Scientist
"system design, c++, git, java","backend logic, coding",Bachelor,9,None,desktop application,Software Engineer
"sketch, wireframing, adobe xd, prototyping, figma, user research","user interface, visual design, user testing",Master,9,Certified,mobile app design,UX Designer
"wireframing, user research, adobe xd, sketch","user interface, design capability, user testing, visual design",PhD,8,Certified,mobile app design,UX Designer
"scrum, market research, roadmapping, communication","product strategy, user experience, leading teams, business growth",Self-Taught,8,In Progress,market analysis,Product Manager
"sketch, adobe xd, figma, prototyping","user interface, design capability, visual design, user testing",PhD,8,None,user flow diagram,UX Designer
"pandas, machine learning, nlp","solving complex problems, building models, analyzing data, ai research",PhD,5,None,image classification,Data Scientist
"agile, scrum, analytics, communication, market research","business growth, user experience, product strategy, leading teams",PhD,5,Certified,product launch,Product Manager
"java, system design, git","software architecture, optimizing performance",PhD,8,In Progress,algorithm visualizer,Software Engineer
"system design, data structures, java, algorithms, python, git, c++","coding, software architecture, optimizing performance",Self-Taught,4,In Progress,algorithm visualizer,Software Engineer
"databases, api, css, javascript, node.js, react, html","building websites, frontend development",Self-Taught,8,None,e-commerce site,Web Developer
"analytics, market research, roadmapping, agile, scrum, communication","product strategy, leading teams, business growth, user experience",Master,4,In Progress,product launch,Product Manager
"wireframing, user research, sketch, prototyping, adobe xd","visual design, design capability, user interface, user testing",Master,3,In Progress,website redesign,UX Designer
"agile, communication, scrum","user experience, product strategy",PhD,8,In Progress,product launch,Product Manager
"api, javascript, css, html, databases","building websites, backend systems, frontend development",Bachelor,10,Certified,portfolio website,Web Developer
"javascript, html, databases, css, node.js, react","backend systems, building websites, frontend development",Bachelor,0,None,e-commerce site,Web Developer
"analytics, market research, scrum, communication","business growth, product strategy, leading teams",Bachelor,6,In Progress,product launch,Product Manager
"html, css, node.js, databases","building websites, ui design, frontend development",Bachelor,9,In Progress,chat application,Web Developer
"communication, analytics, agile, scrum, roadmapping, market research","business growth, product strategy, user experience",PhD,4,In Progress,market analysis,Product Manager
"figma, sketch, adobe xd","design capability, visual design",Bachelor,0,In Progress,user flow diagram,UX Designer
"c++, java, system design","backend logic, coding, software architecture",Bachelor,6,In Progress,scalable system,Software Engineer
"agile, communication, scrum, analytics","product strategy, user experience, business growth",Self-Taught,0,None,user research,Product Manager
"user research, sketch, prototyping, adobe xd, wireframing, figma","visual design, design capability",Self-Taught,9,None,website redesign,UX Designer
"adobe xd, figma, wireframing, sketch, prototyping","visual design, user interface, design capability, user testing",Master,0,In Progress,user flow diagram,UX Designer
"roadmapping, agile, market research, scrum","product strategy, leading teams, user experience",Master,10,None,market analysis,Product Manager
"adobe xd, user research, wireframing, figma","visual design, design capability, user interface",Master,4,In Progress,mobile app design,UX Designer
"communication, roadmapping, scrum, agile, market research","business growth, user experience",Self-Taught,8,None,product launch,Product Manager
"javascript, react, api","building websites, ui design, frontend development, backend systems",Bachelor,10,In Progress,e-commerce site,Web Developer
"statistics, python, sql, machine learning","ai research, solving complex problems",Self-Taught,7,None,sentiment analysis,Data Scientist
"sketch, adobe xd, user research","user testing, visual design, user interface",PhD,4,Certified,website redesign,UX Designer
"statistics, sql, deep learning, machine learning","building models, analyzing data, ai research, solving complex problems",Self-Taught,5,In Progress,customer churn prediction,Data Scientist
"nlp, statistics, python","ai research, building models, analyzing data, solving complex problems",Master,1,Certified,image classification,Data Scientist
"algorithms, system design, data structures, git, c++, java","software architecture, coding",Self-Taught,4,Certified,scalable system,Software Engineer
"user research, prototyping, adobe xd, wireframing, sketch, figma","user testing, visual design, design capability",Self-Taught,7,In Progress,website redesign,UX Designer
"statistics, machine learning, sql, numpy, pandas, python","solving complex problems, building models",Bachelor,7,None,sentiment analysis,Data Scientist
"figma, wireframing, adobe xd, user research, prototyping, sketch","design capability, user testing, visual design, user interface",Bachelor,4,In Progress,user flow diagram,UX Designer
"user research, wireframing, adobe xd, prototyping, figma, sketch","user testing, visual design, design capability, user interface",Bachelor,3,In Progress,user flow diagram,UX Designer
"react, css, javascript, html, databases","ui design, building websites, frontend development",Bachelor,7,In Progress,chat application,Web Developer
"c++, data structures, algorithms","coding, software architecture, optimizing performance",Master,8,Certified,scalable system,Software Engineer
"deep learning, machine learning, numpy, pandas, nlp, python, statistics, sql","analyzing data, building models, solving complex problems",Self-Taught,6,Certified,image classification,Data Scientist
"communication, scrum, analytics, roadmapping","business growth, product strategy, user experience",Master,5,In Progress,market analysis,Product Manager
"agile, scrum, roadmapping","leading teams, business growth, user experience",Master,4,Certified,product launch,Product Manager
"c++, java, system design, python, algorithms, git, data structures","optimizing performance, backend logic, software architecture",Bachelor,4,Certified,desktop application,Software Engineer
"git, python, data structures, java, system design, c++, algorithms","backend logic, coding",Master,5,In Progress,desktop application,Software Engineer
"git, algorithms, data structures, c++, python","backend logic, coding",PhD,7,Certified,scalable system,Software Engineer
"css, html, javascript, react","backend systems, frontend development, ui design, building websites",PhD,1,Certified,portfolio website,Web Developer
"prototyping, user research, sketch, figma, adobe xd, wireframing","user testing, visual design",Self-Taught,2,Certified,user flow diagram,UX Designer
"sketch, prototyping, adobe xd, wireframing, user research","user testing, user interface",Master,2,In Progress,user flow diagram,UX Designer
"figma, user research, wireframing","visual design, design capability, user testing, user interface",PhD,3,None,website redesign,UX Designer
"react, databases, html, node.js, api","frontend development, ui design, backend systems",Master,6,Certified,portfolio website,Web Developer
"wireframing, user research, sketch","user testing, user interface, visual design, design capability",PhD,4,None,user flow diagram,UX Designer
"node.js, javascript, databases, html, react, css, api","ui design, frontend development, building websites, backend systems",Master,2,None,portfolio website,Web Developer
"roadmapping, market research, analytics, communication, agile, scrum","user experience, product strategy",Bachelor,1,In Progress,product launch,Product Manager
"scrum, roadmapping, communication, market research, analytics","user experience, business growth",Master,8,None,product launch,Product Manager
"scrum, analytics, roadmapping, market research, agile","user experience, product strategy, leading teams, business growth",Bachelor,10,None,user research,Product Manager
"wireframing, figma, sketch, prototyping","visual design, user testing",Bachelor,4,Certified,user flow diagram,UX Designer
"html, node.js, databases, css, api, javascript","backend systems, ui design, frontend development, building websites",Master,3,None,portfolio website,Web Developer
"c++, java, algorithms, data structures, git","software architecture, backend logic",Master,7,Certified,algorithm visualizer,Software Engineer
"wireframing, prototyping, adobe xd, figma","design capability, user interface, visual design",PhD,9,In Progress,user flow diagram,UX Designer
"javascript, databases, api, css","frontend development, building websites",Self-Taught,4,None,e-commerce site,Web Developer
"user research, sketch, prototyping","user testing, visual design, design capability",Bachelor,8,In Progress,user flow diagram,UX Designer
"wireframing, sketch, prototyping, user research, figma, adobe xd","user interface, visual design",Master,9,Certified,mobile app design,UX Designer
"agile, communication, analytics, market research","product strategy, leading teams, business growth",Master,7,Certified,market analysis,Product Manager
"react, databases, html, node.js, api, javascript, css","ui design, frontend development, backend systems, building websites",Self-Taught,7,None,e-commerce site,Web Developer
"python, c++, java, algorithms, git","optimizing performance, coding, backend logic, software architecture",Self-Taught,4,In Progress,desktop application,Software Engineer
"databases, api, html, react, node.js, css, javascript","building websites, frontend development",PhD,8,In Progress,chat application,Web Developer
"api, html, react, databases","ui design, frontend development, building websites, backend systems",Bachelor,6,In Progress,chat application,Web Developer
"market research, agile, roadmapping","user experience, business growth, product strategy, leading teams",Bachelor,9,In Progress,market analysis,Product Manager
"numpy, statistics, nlp, machine learning, deep learning, pandas","building models, analyzing data, ai research",Master,8,In Progress,sentiment analysis,Data Scientist
"html, react, css, databases, node.js, api, javascript","frontend development, ui design, building websites, backend systems",Master,2,In Progress,e-commerce site,Web Developer
"python, nlp, machine learning","analyzing data, ai research, building models",PhD,2,None,image classification,Data Scientist
"data structures, algorithms, git, java, c++, system design, python","backend logic, coding, optimizing performance",PhD,4,In Progress,scalable system,Software Engineer
"deep learning, statistics, sql","solving complex problems, analyzing data, building models",Bachelor,4,None,customer churn prediction,Data Scientist
"prototyping, wireframing, figma, sketch, adobe xd","user interface, visual design, design capability",Self-Taught,3,In Progress,user flow diagram,UX Designer
"java, c++, system design","software architecture, backend logic",Master,8,In Progress,scalable system,Software Engineer
"javascript, css, html, node.js, react","frontend development, backend systems",Self-Taught,8,Certified,e-commerce site,Web Developer
"sketch, adobe xd, wireframing","design capability, user interface",Self-Taught,1,Certified,mobile app design,UX Designer
"html, databases, api, node.js, css","frontend development, building websites",PhD,10,Certified,e-commerce site,Web Developer
"user research, prototyping, adobe xd","user interface, design capability",Bachelor,3,In Progress,mobile app design,UX Designer
"machine learning, python, numpy, pandas","analyzing data, building models, solving complex problems",Bachelor,3,In Progress,image classification,Data Scientist
"roadmapping, analytics, scrum","product strategy, business growth",Self-Taught,6,Certified,market analysis,Product Manager
"c++, system design, python","software architecture, backend logic, coding, optimizing performance",PhD,1,In Progress,algorithm visualizer,Software Engineer
"figma, sketch, adobe xd, user research, prototyping, wireframing","user testing, visual design, user interface, design capability",Self-Taught,9,In Progress,mobile app design,UX Designer
"python, data structures, c++, java, git, algorithms","software architecture, backend logic, optimizing performance, coding",Bachelor,1,Certified,algorithm visualizer,Software Engineer
"system design, algorithms, c++, data structures, git","coding, optimizing performance, backend logic",PhD,4,Certified,algorithm visualizer,Software Engineer
"git, python, data structures, algorithms, java, system design, c++","software architecture, optimizing performance, coding, backend logic",PhD,8,In Progress,scalable system,Software Engineer
"sketch, prototyping, figma, wireframing","design capability, user testing, visual design, user interface",PhD,6,Certified,website redesign,UX Designer
"statistics, pandas, machine learning","ai research, solving complex problems",PhD,5,Certified,customer churn prediction,Data Scientist
"python, pandas, machine learning, numpy, sql, nlp, deep learning, statistics","solving complex problems, analyzing data, ai research, building models",Self-Taught,2,In Progress,image classification,Data Scientist
"git, data structures, c++, python, algorithms, java, system design","coding, software architecture",Self-Taught,5,Certified,desktop application,Software Engineer
"algorithms, git, c++, python, data structures","software architecture, optimizing performance",PhD,2,None,algorithm visualizer,Software Engineer
"agile, analytics, market research, roadmapping, communication, scrum","leading teams, product strategy",PhD,4,Certified,product launch,Product Manager
"analytics, agile, roadmapping, market research, communication, scrum","user experience, business growth",Master,5,None,user research,Product Manager
"algorithms, c++, data structures, python","optimizing performance, backend logic, coding",Bachelor,1,Certified,scalable system,Software Engineer
"java, python, system design, git, algorithms","optimizing performance, coding, software architecture",Bachelor,3,None,scalable system,Software Engineer
"figma, user research, adobe xd","user interface, visual design",Bachelor,6,In Progress,mobile app design,UX Designer
"figma, wireframing, sketch, prototyping","user interface, user testing, design capability",PhD,10,Certified,mobile app design,UX Designer
"sql, nlp, statistics, pandas, numpy, python, deep learning, machine learning","ai research, analyzing data, solving complex problems",Bachelor,8,Certified,sentiment analysis,Data Scientist
"algorithms, system design, c++, data structures, python, java, git","backend logic, software architecture",Self-Taught,2,Certified,algorithm visualizer,Software Engineer
"c++, java, python, git, algorithms, data structures, system design","software architecture, backend logic, coding",PhD,8,In Progress,scalable system,Software Engineer
"java, algorithms, data structures, git, python, system design, c++","backend logic, optimizing performance, coding, software architecture",Master,10,Certified,desktop application,Software Engineer
"sketch, figma, wireframing, adobe xd, user research","design capability, user interface, user testing",Self-Taught,5,Certified,user flow diagram,UX Designer
"databases, react, css","building websites, backend systems",Self-Taught,8,In Progress,e-commerce site,Web Developer
"sketch, wireframing, prototyping, figma, user research, adobe xd","visual design, user testing, user interface",PhD,4,In Progress,mobile app design,UX Designer
"adobe xd, wireframing, user research, sketch, figma","user testing, visual design, user interface, design capability",Master,5,Certified,mobile app design,UX Designer
"algorithms, git, python, c++, system design","backend logic, coding, optimizing performance, software architecture",Master,9,Certified,desktop application,Software Engineer
"wireframing, user research, sketch","user interface, user testing, design capability, visual design",Master,7,Certified,user flow diagram,UX Designer
"figma, prototyping, sketch, user research","user testing, design capability, visual design, user interface",Bachelor,10,Certified,user flow diagram,UX Designer
"figma, wireframing, adobe xd, sketch, user research","visual design, user interface, user testing, design capability",Bachelor,1,Certified,mobile app design,UX Designer
"wireframing, sketch, adobe xd, user research, prototyping, figma","user testing, user interface, design capability, visual design",Self-Taught,5,In Progress,user flow diagram,UX Designer
"roadmapping, agile, communication","product strategy, leading teams, business growth, user experience",Self-Taught,10,Certified,product launch,Product Manager
"react, api, html","backend systems, building websites, frontend development",Self-Taught,4,Certified,portfolio website,Web Developer
"python, java, git","optimizing performance, backend logic, software architecture, coding",PhD,10,Certified,scalable system,Software Engineer
"user research, sketch, adobe xd, figma, wireframing, prototyping","visual design, user interface",Self-Taught,2,Certified,user flow diagram,UX Designer
"sql, machine learning, numpy","analyzing data, ai research, solving complex problems",Master,10,In Progress,sentiment analysis,Data Scientist
"numpy, pandas, machine learning, sql, statistics, nlp, deep learning","solving complex problems, analyzing data, ai research, building models",PhD,9,Certified,sentiment analysis,Data Scientist
"sql, python, nlp, statistics, machine learning, numpy","solving complex problems, building models, ai research, analyzing data",Self-Taught,6,Certified,image classification,Data Scientist
"python, sql, statistics, pandas, machine learning, deep learning, nlp, numpy","analyzing data, ai research, solving complex problems",Bachelor,7,In Progress,customer churn prediction,Data Scientist
"market research, analytics, agile, communication","user experience, leading teams, business growth",PhD,4,Certified,market analysis,Product Manager
"wireframing, figma, user research, sketch, prototyping","user testing, design capability, user interface",Bachelor,1,None,website redesign,UX Designer
"agile, scrum, market research, communication","leading teams, business growth, user experience, product strategy",Self-Taught,9,None,user research,Product Manager
"databases, node.js, css, react, javascript","backend systems, frontend development",Master,10,Certified,e-commerce site,Web Developer
"agile, scrum, market research","leading teams, business growth, product strategy",Master,7,Certified,product launch,Product Manager
"analytics, roadmapping, communication, market research, agile, scrum","user experience, business growth",PhD,7,Certified,market analysis,Product Manager
"market research, communication, roadmapping","leading teams, product strategy, business growth, user experience",Self-Taught,5,Certified,market analysis,Product Manager
"scrum, analytics, roadmapping, agile, market research, communication","product strategy, user experience",Bachelor,6,In Progress,user research,Product Manager
"statistics, machine learning, numpy, nlp, pandas, deep learning, python, sql","building models, solving complex problems",Bachelor,7,Certified,customer churn prediction,Data Scientist
"css, react, api, html, databases, node.js, javascript","building websites, frontend development, backend systems, ui design",Self-Taught,7,In Progress,e-commerce site,Web Developer
"java, python, system design","software architecture, optimizing performance",Master,8,Certified,scalable system,Software Engineer
"node.js, api, react, css, javascript, databases, html","frontend development, ui design, backend systems",Self-Taught,8,In Progress,chat application,Web Developer
"analytics, market research, roadmapping, communication","product strategy, business growth, user experience",PhD,6,In Progress,product launch,Product Manager
"css, javascript, databases, node.js, react","frontend development, ui design",PhD,3,Certified,portfolio website,Web Developer
"css, html, javascript, api, databases, node.js","backend systems, frontend development, building websites",PhD,7,In Progress,e-commerce site,Web Developer
"nlp, sql, machine learning, pandas, deep learning, numpy","ai research, building models",PhD,0,Certified,customer churn prediction,Data Scientist
"pandas, numpy, machine learning, nlp, statistics, deep learning","ai research, solving complex problems",Bachelor,6,In Progress,sentiment analysis,Data Scientist
"java, system design, data structures, algorithms, python","coding, software architecture",Self-Taught,3,None,desktop application,Software Engineer
"c++, python, data structures, java","software architecture, coding",Master,8,In Progress,desktop application,Software Engineer
"node.js, react, api","building websites, frontend development, backend systems",Master,4,None,portfolio website,Web Developer
"adobe xd, wireframing, prototyping, user research, figma","design capability, user testing, user interface, visual design",Self-Taught,3,In Progress,website redesign,UX Designer
